nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,preTask,preDur
0,6,18,reproduction,0.8,0.7409566000001178,0.0,,following,1.1
0,6,19,reproduction,1.3,1.3407978999998704,0.0,,reproduction,0.8
0,6,20,reproduction,1.2,1.1290883000001486,0.0,,reproduction,1.3
0,6,21,reproduction,0.9,0.8585766000001058,0.0,,reproduction,1.2
0,6,22,following,1.2,0.0,1.1172838999996202,1.0,reproduction,0.9
0,6,23,following,1.3,0.0,1.3054752999996708,1.3,following,1.2
0,6,24,reproduction,1.1,0.9644179000001714,0.0,,following,1.3
0,6,25,reproduction,1.1,1.0467555000000175,0.0,,reproduction,1.1
0,6,26,following,1.1,0.0,1.1995473999995738,1.2,reproduction,1.1
0,6,27,reproduction,0.9,0.7527335999998286,0.0,,following,1.1
0,6,28,following,1.1,0.0,1.2467862999997124,1.4,reproduction,0.9
0,6,29,following,1.0,0.0,1.1525574000002052,1.3,following,1.1
0,6,30,following,1.0,0.0,1.0584979000000203,1.2,following,1.0
0,6,31,reproduction,1.1,0.7997841999999764,0.0,,following,1.0
0,6,32,reproduction,0.8,0.7880054999995991,0.0,,reproduction,1.1
0,6,33,reproduction,0.9,0.7644765999998526,0.0,,reproduction,0.8
0,6,34,following,0.9,0.0,1.0467297000000144,1.0,reproduction,0.9
0,6,35,following,1.4,0.0,1.1877777999998216,1.1,following,0.9
0,6,36,reproduction,0.8,0.7291059999997742,0.0,,following,1.4
0,6,37,reproduction,1.4,1.1055630999999266,0.0,,reproduction,0.8
0,6,38,following,1.2,0.0,1.0702558999996654,0.9,reproduction,1.4
0,6,39,following,1.2,0.0,1.25843789999999,0.8,following,1.2
0,6,40,reproduction,1.0,0.8585305999999946,0.0,,following,1.2
0,6,41,following,1.3,0.0,1.2113604000001033,0.9,reproduction,1.0
0,6,42,following,1.3,0.0,1.3642886999996335,1.4,following,1.3
0,6,43,reproduction,1.2,1.1173229000000902,0.0,,following,1.3
0,6,44,reproduction,1.4,1.3643003000001954,0.0,,reproduction,1.2
0,6,45,following,1.2,0.0,1.152559999999994,1.4,reproduction,1.4
0,6,46,reproduction,0.9,1.093785999999909,0.0,,following,1.2
0,6,47,following,1.1,0.0,1.2702771999997822,0.9,reproduction,0.9
0,6,48,reproduction,1.0,0.9997095000003356,0.0,,following,1.1
0,6,49,following,1.4,0.0,1.2466416000002027,0.8,reproduction,1.0
0,6,50,reproduction,1.4,1.3643057000003864,0.0,,following,1.4
0,6,51,following,1.1,0.0,1.1643721000000369,0.8,reproduction,1.4
0,6,52,reproduction,0.8,0.7645136000001003,0.0,,following,1.1
0,6,53,following,1.3,0.0,1.5171884999999747,1.2,reproduction,0.8
0,6,54,reproduction,1.2,1.093788399999994,0.0,,following,1.3
0,6,55,reproduction,1.4,0.9291425000001254,0.0,,reproduction,1.2
0,6,56,reproduction,1.2,1.070295299999998,0.0,,reproduction,1.4
0,7,1,following,1.0,0.0,1.1055441999997129,1.3,,
0,7,2,reproduction,0.8,0.7644900999998754,0.0,,following,1.0
0,7,3,following,1.3,0.0,1.1996260999999322,1.4,reproduction,0.8
0,7,4,reproduction,0.8,0.7409664000001612,0.0,,following,1.3
0,7,5,reproduction,1.0,0.7762732000001051,0.0,,reproduction,0.8
0,7,6,following,1.3,0.0,1.246595999999954,0.8,reproduction,1.0
0,7,7,following,1.0,0.0,1.0937804000000142,0.8,following,1.3
0,7,8,following,0.8,0.0,0.9643802000000504,1.1,following,1.0
0,7,9,following,1.0,0.0,1.0232114000000363,0.9,following,0.8
0,7,10,reproduction,1.4,1.4466385000000628,0.0,,following,1.0
0,7,11,following,1.4,0.0,1.364279300000362,1.2,reproduction,1.4
0,7,12,following,1.1,0.0,1.1643466000000444,1.3,following,1.4
0,7,13,reproduction,1.3,1.1173234000002594,0.0,,following,1.1
0,7,14,reproduction,0.8,0.7997755000001234,0.0,,reproduction,1.3
0,7,15,reproduction,0.9,0.88216360000024,0.0,,reproduction,0.8
0,7,16,reproduction,0.9,1.0232264999999643,0.0,,reproduction,0.9
0,7,17,reproduction,0.9,1.0702658999998675,0.0,,reproduction,0.9
