nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,6,19,following,0.9,0.0,1.199647299999924,1.3,1.199647299999924,reproduction,1.4,1.4231270999989647,,0.0236277999974845,0.3176708999999391,False,1
9,6,20,following,1.3,0.0,1.2348612000023422,1.1,1.2348612000023422,following,0.9,1.199647299999924,1.3,0.0589419999996607,-0.0116897000007156,False,1
9,6,21,reproduction,1.0,1.07029749999856,0.0,,1.07029749999856,following,1.3,1.2348612000023422,1.1,,,False,1
9,6,22,following,0.8,0.0,1.1525779999974477,1.3,1.1525779999974477,reproduction,1.0,1.07029749999856,,-0.0821905999982846,0.2706300999998348,False,1
9,6,23,following,0.8,0.0,1.0937859999976354,1.0,1.0937859999976354,following,0.8,1.1525779999974477,1.3,-0.0939580999979625,0.2000690999998369,False,1
9,6,24,following,0.9,0.0,1.093742699998984,1.0,1.093742699998984,following,0.8,1.0937859999976354,1.0,0.0119075000002339,0.2000431999986176,False,1
9,6,25,reproduction,1.0,0.9879671999988204,0.0,,0.9879671999988204,following,0.9,1.093742699998984,1.0,,,False,1
9,6,26,reproduction,1.3,0.7763187000018661,0.0,,0.7763187000018661,reproduction,1.0,0.9879671999988204,,,,False,1
9,6,27,following,1.2,0.0,1.1290950999973577,1.1,1.1290950999973577,reproduction,1.3,0.7763187000018661,,0.1412374000028649,0.0706992999985232,False,1
9,6,28,reproduction,1.4,0.9879461999989873,0.0,,0.9879461999989873,following,1.2,1.1290950999973577,1.1,,,False,1
9,6,29,following,1.4,0.0,1.4465509000001475,1.2,1.4465509000001475,reproduction,1.4,0.9879461999989873,,-0.0586717000005592,-0.0116940000007161,False,1
9,6,30,following,1.4,0.0,1.4465792999981204,1.0,1.4465792999981204,following,1.4,1.4465509000001475,1.2,-0.0587006999994628,-0.0116936000013083,False,1
9,6,31,reproduction,1.1,1.2115451999998186,0.0,,1.2115451999998186,following,1.4,1.4465792999981204,1.0,,,False,1
9,6,32,following,0.8,0.0,0.976151700000628,1.1,0.976151700000628,reproduction,1.1,1.2115451999998186,,0.0707127999994554,0.2471112000021094,False,1
9,6,33,reproduction,0.8,0.7527435000010883,0.0,,0.7527435000010883,following,0.8,0.976151700000628,1.1,,,False,1
9,6,34,following,0.9,0.0,1.023209999999381,0.9,1.023209999999381,reproduction,0.8,0.7527435000010883,,0.0354294999997364,0.1530108000006294,False,1
9,6,35,reproduction,1.4,0.976218700001482,0.0,,0.976218700001482,following,0.9,1.023209999999381,0.9,,,False,1
9,6,36,reproduction,1.1,0.8821218000011868,0.0,,0.8821218000011868,reproduction,1.4,0.976218700001482,,,,False,1
9,6,37,reproduction,1.3,0.976270499999373,0.0,,0.976270499999373,reproduction,1.1,0.8821218000011868,,,,False,1
9,6,38,reproduction,1.3,0.8821318000009342,0.0,,0.8821318000009342,reproduction,1.3,0.976270499999373,,,,False,1
9,6,39,following,1.3,0.0,1.564219600000797,0.8,1.564219600000797,reproduction,1.3,0.8821318000009342,,-0.035146900001564,0.2235819000015908,False,1
9,6,40,following,1.1,0.0,1.223138099998323,1.2,1.223138099998323,following,1.3,1.564219600000797,0.8,0.0942414999990433,0.2118235999987519,False,1
9,6,41,following,1.2,0.0,1.3407575999990513,1.3,1.3407575999990513,following,1.1,1.223138099998323,1.2,0.0236611000000266,0.1647765999987314,False,1
9,6,42,following,0.8,0.0,1.011477399999421,0.8,1.011477399999421,following,1.2,1.3407575999990513,1.3,-0.1645509000009042,0.0471767999988514,False,1
9,6,43,reproduction,0.9,0.9291548999972292,0.0,,0.9291548999972292,following,0.8,1.011477399999421,0.8,,,False,1
9,6,44,following,1.4,0.0,1.375988799998595,1.4,1.375988799998595,reproduction,0.9,0.9291548999972292,,0.0119018000004871,-0.0116815000001224,False,1
9,6,45,following,0.8,0.0,1.1172980000010284,1.4,1.1172980000010284,following,1.4,1.375988799998595,1.4,-0.0233852000019396,0.294153599999845,False,1
